Date,Close,Open,High,Low,Volume,Price_Change_Percent
2022-02-24 00:00:00,266.92,233.46,267.49,233.33,135322200,14.332219652188815
2022-02-28 00:00:00,290.14,271.67,292.29,271.57,99006900,6.798689586630828
2022-03-22 00:00:00,331.33,310.0,332.62,307.25,105868500,6.8806451612903174
2022-04-04 00:00:00,381.82,363.13,383.3,357.51,82035900,5.146917082036736
2022-05-04 00:00:00,317.54,301.31,318.5,295.09,81643800,5.386479041518707
2022-05-25 00:00:00,219.6,207.95,223.11,207.67,92139300,5.602308247174805
2022-05-26 00:00:00,235.91,220.47,239.56,217.89,106003200,7.003220392797205
2022-05-27 00:00:00,253.21,241.08,253.27,240.18,89295000,5.031524805043967
2022-06-02 00:00:00,258.33,244.16,264.21,242.07,93473100,5.8035714285714235
2022-06-15 00:00:00,233.0,220.92,235.66,218.15,119131800,5.468042730400151
2022-06-21 00:00:00,237.04,224.6,243.58,224.33,122793000,5.538735529830809
2022-07-13 00:00:00,237.04,225.5,242.06,225.03,97954500,5.117516629711749
2022-07-21 00:00:00,271.71,255.11,273.27,254.87,142032300,6.506996981694158
2022-07-29 00:00:00,297.15,280.7,298.32,279.1,95313000,5.860349127182041
2022-10-13 00:00:00,221.72,208.3,222.99,206.22,91483000,6.442630820931343
2022-10-25 00:00:00,222.42,210.1,224.35,210.0,96507900,5.863874345549735
2022-11-11 00:00:00,195.97,186.0,196.52,182.59,114403600,5.36021505376344
2022-11-23 00:00:00,183.2,173.57,183.62,172.5,109536700,5.548193812294748
2022-11-30 00:00:00,194.7,182.43,194.76,180.63,109186400,6.725867456010515
2023-01-06 00:00:00,113.06,103.0,114.39,101.81,220911100,9.766990291262138
2023-01-13 00:00:00,122.4,116.55,122.63,115.6,180714100,5.019305019305027
2023-01-23 00:00:00,143.75,135.87,145.38,134.27,203119200,5.799661441083384
2023-01-27 00:00:00,177.9,162.43,180.68,161.17,306590600,9.524102690389705
2023-01-31 00:00:00,173.22,164.57,174.3,162.78,196813500,5.25612201494805
2023-02-14 00:00:00,209.25,191.94,209.82,189.44,216455700,9.01844326351985
2023-03-31 00:00:00,207.46,197.53,207.79,197.2,169638500,5.027084493494662
2023-06-22 00:00:00,264.61,250.77,265.0,248.25,166875900,5.519001475455598
2023-07-24 00:00:00,269.06,255.85,269.85,254.12,136508500,5.163181551690447
2023-08-29 00:00:00,257.18,238.58,257.48,237.77,134047600,7.796127085254419
2023-10-04 00:00:00,261.16,248.14,261.86,247.6,129721600,5.247037962440573
2024-02-15 00:00:00,200.45,189.16,200.88,188.86,120831800,5.96849228166631
2024-04-25 00:00:00,170.18,158.96,170.88,158.36,126427500,7.058379466532459
